Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","110.5406","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","110.5202","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","110.371","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","110.8222","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","110.3506","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","110.9376","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","111.3413","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","111.287","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","110.8019","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","111.9928","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","112.176","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","111.4295","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","111.8333","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","111.6535","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","112.271","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","112.9733","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","114.7342","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","117.418","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","118.7446","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","121.0755","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","123.169","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","127.1115","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","127.919","X","Figure from international organizations","base year is 2015"
